public_id,title,text,our rating
f2182a54,HUGE! Attorney Sidney Powell CONFIRMS Alleged Dominion Servers in Germany Were Confiscated — VIDEO,"Last week Rep. Louie Gohmert told Chris Salcedo on Newsmax that people on the ground in Germany report that Scytl, which hosted elections data improperly through Spain, was raided by a large US ARMY force and their servers were seized in Frankfurt.  The video went viral.  Here is what Rep. Louie Gohmert (R-TX) had to say about this alleged raid earlier today.  TRENDING: FBI Sends Out Warning Advising Against Buying, Making or Misrepresenting a Vaccine Card Which May Be ""Breaking the Law""  We later posted more information we received from our source on this raid in Germany.  From our source: The US government, once they determined that this Dominion server was involved in switching votes, then the intelligence community began a search for the server and discovered that the server was in Germany. In order to get access to that server and have it available for use in a legal manner they had to have the State Department work in tandem with the Department of Justice. They had to request that the government of Germany cooperate in allowing this seizure of this server. The appropriate documents required to affect that kind of seizure were put in place, signed off on, and it appears there was also US military support in this operation. The US military was not in the lead. But this helps explain why Esper was fired and Miller and Kash Patel were put in place — so that the military would not interfere with the operation in any way. By getting ahold of the server they now are going to have the direct evidence of when they were instructed to stop counting. They will also discover who gave the direction to stop counting and who initiated the algorithm that started switching votes. The CIA was completely excluded from this operation.  Do you think Democrats tried to steal the election? Yes No Completing this poll entitles you to The Gateway Pundit news updates free of charge. You may opt out at anytime. You also agree to our Privacy Policy and Terms of Use You're logged in to Facebook. Click here to log out. 99% (2658 Votes) 1% (21 Votes)  During the press conference on Thursday Attorney Sidney Powell weighed in on the Dominion-Smartmatic servers that were reportedly confiscated in Germany.  Reporter Emerald Robinson: There were reports that a piece of hardware possibly a server was picked up in Germany. Is that true and is it related to this? Attorney Sidney Powell: That is true. It is somehow related to this. But I do not know if good guys got it or bad guys got it.  WOW!  That is BIG NEWS!  Rumble:    Youtube:",FALSE
c5175d8d,Paul Ryan’s Worst Ally - The New York Times,"WHATEVER drama plays out when Republicans meet in Cleveland next week to nominate their party’s presidential candidate, the most consequential story line might well be the nationally televised debut of the awkward political partnership between Donald J. Trump, the presumptive nominee, and House Speaker Paul D. Ryan, the highest-ranking elected Republican and thus chairman of the convention. But it offers just a sample of the spectacles sure to ensue between them should Mr. Trump become president.  How could Mr. Ryan, for years his party’s self-styled ideas guy, share power with a president whose ill-formed, often baffling ideas are in significant cases the opposite of his own, and of conservatives generally — on trade, Medicare and Social Security, immigration policy and more?  Could Mr. Ryan, as he suggests, really expect compromise from Mr. Trump, who has already served notice that Republican congressional leaders should “just be quiet” and leave running the country to him? Might Mr. Ryan even use the House’s legislative power to block some initiatives, though President Trump would be certain to claim a mandate for them? Where difficult trade-offs are needed to bring Trumpian ideas into legislative reality, can Mr. Ryan corral support from his fractious Republican colleagues (and even a few Democrats when necessary)?  That last question suggests another, bigger one that predates the Trump ascendance: Can Mr. Ryan himself compromise in the interest of getting legislation signed into law? Many in both parties have come to doubt it after 17 years in which the 46-year-old congressman from Wisconsin has held increasingly influential positions in the House, with Republicans holding a majority for all but four of those years.",TRUE
213a870b,"You Can Get Jail Time Or $3,000 Fine For Not Wearing A Face Mask In Canada Starting Today - Canada Eh?","Source page URL  Title You Can Get Jail Time Or $3,000 Fine For Not Wearing A Face Mask In Canada Starting Today - Canada Eh?",FALSE
392886ea,Antifa gearing up for false flag violence disguised as Trump-supporters,"With merchants in Democrat-run cities boarding up their storefront windows, the possibility of serious urban violence is well understood. As horrific as that could get (ask anyone who lives in Minneapolis), the progressive fascists appear to have a plan in place to make it even worse: disguising their rioters as Trump-supporters in order to make the case that Donald Trump truly is a dictator that must be violently overthrown if he wins or arrested and prosecuted if he loses.  A source that has always been reliable was able to photograph an Antifa flyer:  What makes all of this particularly chilling is that progressives already are absurdly claiming that the threat of violence comes from our side. Portland's Mayor Ted Wheeler warns of white racist rioters inspired by the rhetoric from Washington, D.C. (i.e., Trump):  Given the heightened concerns about potential violence, particularly from white supremist organizations and the divisive rhetoric from Washington, D.C., the need for coordination and partnership takes on statewide significance. Oregon is likely to be a flashpoint. — Mayor Ted Wheeler (@tedwheeler) November 2, 2020  Other media players, such Vox and the New York Times, warn of both sides, a disguise of balance but ridiculously unrealistic, considering the utter lack of property destruction by the right and massive destruction at the hands of the left since Gorge Floyd's death in police custody.  Tucker Carlson and Lisa Boothe last night addressed Ted Wheeler's warning and correctly pointed out its absurdity. As they noted, if merchants believed that white supremacists were the threat, they would not be spray-painting ""We support Black Lives Matter"" on their plywood window coverings. If they thought Ted Wheeler were for real, not a vicious liar, they would spray white power rhetoric. The segment begins at about 1:30 in the video below (courtesy of Media Matters!):  Dan Crenshaw makes a similar point:  Trump’s chaos? Last I checked, businesses weren’t boarding up their windows because they were afraid of Trump supporters. https://t.co/XALmvJ0H2t — Dan Crenshaw (@DanCrenshawTX) November 1, 2020  Speaking of Tucker C., his opening monologue last night nailed it, explaining what this election is all about. Do yourself a favor and devote five minutes to watching if you missed it. It demonstrates why Tucker is now the most important figure in television today.",FALSE
bc6d5d55,Remarks by President Biden on the Administration’s COVID-19 Vaccination Efforts,"State Dining Room  4:22 P.M. EST  THE PRESIDENT: Good afternoon, folks. The Vice President and I have some good news to report, and I’d like to make two key announcements today related to our COVID-19 vaccination effort.  As you know, a few days ago, after a rigorous opening — open and objective scientific review process, the Food and Drug Administration issued an emergency use authorization for the Johnson & Johnson COVID-19 vaccine. We should all be encouraged by this news of a third safe and highly effective COVID-19 vaccine. The more people who get vaccinated, the faster we’re going to overcome this virus and get back to our loved ones, get our economy back on track, and start to move back to normal.  But that’s — one of my first goals in office was — when I got into office was to say that there will be 100 million vaccination shots administered in my first 100 days in office. We’ve got halfway to that goal in 37 days, and I feel confident we’ll make it all the way.  As I — and as I’ve said, we have a long way to go, but, you know, as I said from the outset, we’re going to use every resource of the federal government to make it happen. Among the things I learned when I came into office was that Johnson & Johnson was behind in manufacturing and production. While we pote- — while we had the potential of another highly effective vaccine to accompany the two existing vaccines, it simply wasn’t coming fast enough. So my team — my team has been hard at work to accelerate that effort.  As I’ve always said, this was a wartime effort, and every action has been on the table, including putting together breakthrough approaches.  And today, we’re announcing a major step forward: Two of the largest healthcare and pharmaceutical companies in the world — that are usually competitors — are working together on the vaccine. Johnson & Johnson and Merck will work together to expand the production of Johnson & Johnson’s vaccine. This is the type of collaboration between companies we saw in World War Two.  We also invoked the Defense Production Act to equip two Merck facilities to the standards necessary to safely manufacture the J&J vaccine. And with the urging and assistance of my administration, Johnson & Johnson is also taking additional new actions to safely accelerate vaccine production. Johnson & Johnson’s vaccine manufacturing facilities will now begin to operate 24/7.  In addition, we’ll continue to use the Defense Production Act to expedite critical materials in vaccine production, such as equipment, machinery, and supplies.  I’ve also asked the Department of Defense to provide daily logistical support to strengthen Johnson & Johnson’s efforts. And I want to thank Johnson & Johnson and Merck for stepping up and being good corporate citizens during this national crisis.  Here’s what all this means: We’re now on track to have enough vaccine supply for every adult in America by the end of May.  Let me say that again: When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America. We rectified that. About three weeks ago, we were able to say that we’ll have enough vaccine supply for adults by the end of July.  And I’m pleased to announce today, as a consequence of the stepped-up process that I’ve ordered and just outlined, this country will have enough vaccine supply — I’ll say it again — for every adult in America by the end of May. By the end of May. That’s progress — important progress.  But it’s not enough to have the vaccine supply. We need vaccinators — people to put the shots in people’s arms, millions of Americans’ arms.  To date, we’ve brought back retired doctors and nurses. We’ve developed — we deployed more than 1,500 federal medical personnel you usually see during natural disasters, from the Federal Emergency Management Agency — FEMA — and the Commissioned Health Corps at the Department of Health and Human Services, and the Defense Department, including the National Guard, with thousands of more to come.  We’re also increasing the places where people can get vaccinated. We’ve sent millions of vaccines to over 7,000 pharmacies to make it easier for folks to get their COVID-19 vaccine shot like they would their flu shot.  The federal government is also working with states to set up hundreds of mass vaccination centers in places like stadiums, community centers, parking lots that vaccinate thousands of people per day. My wife Jill and I just visited one in Houston last week. It’s incredible.  And with this increased production of three safe and effective vaccines, we have an opportunity to help address the urgent national need more quickly and getting our schools back open safely.  Right now, an entire generation of young people is on the brink of being set back a year or more in their learning. You can ask millions of parents; they understand. We’re already seeing rising mental health concerns due in part to isolation.  Educational disparities that have always existed grow wider each day that our schools remain closed. And remote learning isn’t the same for every student, as you all know.  Our educators are doing everything they can to protect and educate our students, despite the lack of resources and as districts face budget crises that risk education jobs.  Moms and dads are exiting the workforce in astonishing numbers in order to care for and manage the school experience for their children at home, hindering their own opportunities for — and further undermining the health of our economy.  This is a national imperative that we get our kids back into the classroom safely and as soon as possible. As you know, back in December, I set a goal of having a majority of our K-through-8 schools open by the end of my first 100 days as President.  To achieve that goal, I sent the American Rescue Plan to Congress to provide vital help to make sure schools can open safely — reopen safely. Essential things like more teachers to reduce class sizes, more buses and bus drivers to transport our kids safely, and more space to conduct in-person instructions, and more protective equipment, school cleaning services, physical alterations to reduce the risk of the spread of the virus. All cost money. The House passed the American Rescue Plan last week, and I hope the Senate will follow as quickly and as well.  You know, also, the Centers for Disease Control and Prevention, the CDC, issued new guidelines on how to reopen schools safely. It’s a roadmap that will enable schools — if they have the resources they deserve — to reopen safely. I have given those schools a roadmap. I’ve asked Congress to give them the tools. And today, to add one more tool to school reopening: a vaccinated workforce.  Let me be clear: We can reopen schools if the right steps are taken, even before employees are vaccinated. But time and again, we’ve heard from educators and parents that they have anxieties about that.  So as yet another move to help accelerate the safe reopening of our schools, let’s treat in-person learning like an essential service that it is. And that means getting essential workers who provide that service — educators, school staff, childcare workers — get them vaccinated immediately. They’re essential workers.  Over 30 states have already taken step to prior- –prioritize educators for vaccination. And today, I’m using the full authority of the federal government. I’m directing every state to do the same. My challenge to all states, territories, and the District of Columbia is this: We want every educator, school staff member, childcare worker to receive at least one shot by the end of the month of March.  To help make this happen, starting next week and for a month — the month of March, we will be using our federal pharmacy program to prioritize the vaccination of pre-K through 12 educators and staff and child-care workers. Throughout March, they will be able to prioritize the vaccination of pre-K-through-12 educators and staff and childcare workers. Throughout March, they will be able to sign up for an appointment at a pharmacy near them.  And I want to be very clear: Not every educator will be able to get their appointment in the first week, but our goarl [sic] — goal is to do everything we can to help every educator receive a shot this month, the month of March.  I want to conclude with this: We’re making progress from the mess we inherited. We’re moving in the right direction. And today’s announcements are a huge step in our effort to beat this pandemic. But I have to be honest with you: This fight is far from over. I told you I’d be straight up with you from the beginning. As I said many times, things may get worse again as new variants spread and as we face setbacks, like recent winter storms in the Midwest and South. But our administration will never take this public health threat lightly.  Though we celebrate the news of the third vaccine, I urge all Americans: Please keep washing your hands, stay socially distanced, wear masks — keep wearing them, get vaccinated when it’s your turn. Now is not the time to let up. I’ve asked the country to wear masks for my first 100 days in office. Now is not the time to let our guard down. People’s lives are at stake.  We have already — we have already — and I carry this in my pocket — lost more — as of today, we’ve lost more than 511,839 Americans, as of today. It’s got to stop.  We need the United States Senate to follow the House and pass the American Rescue Plan, because despite the optimism, without new resources, our entire effort will be set back. We need the resources in the American Rescue Plan and we need it urgently. We need them expanding testing, ramp up vaccine distribution, fund FEMA and other federal vaccine efforts, and continue reimbursing states for their efforts.  We need the resources to expand genomic sequencing; to stay ahead of emerging variants; find the protective gear, transportation, staffing, and other costs required for school and business to open safely. We need to fund it. The bottom line is: We need the American Rescue Plan now. Now.  There is light at the end of the tunnel, but we cannot let our guard down now or assure that victory is inevitable. We can’t assume that. We must remain vigilant, act fast and aggressively, and look out for one another. That’s how we’re going to get ahead of this virus, get our economy going again, and get back to our loved ones.  So thank you. And please, please, it’s not over yet. Great news, but stay vigilant. May God bless you, and may God protect our troops. Thank you all very, very much.  Q Mr. President, based on the news you announced, when do you think things will get back to normal? When do you think things will get back to normal?  THE PRESIDENT: When do I think things will get back to normal? I’ve been cautioned not to give an answer to that because we don’t know for sure. But my hope is, by this time next year, we’re going to be back to normal, and before that — my hope. But again, it depends upon if people continue — continue to be smart and understand that we still can have significant losses. There’s a lot we have to do yet. So thank you.  Q Did you receive a briefing about the border today?  THE PRESIDENT: Yes, I did.  Q What did you learn?  THE PRESIDENT: A lot.  Q Is there a crisis at the border, sir?  THE PRESIDENT: No, we’ll be able to handle it, God willing.  4:34 P.M. EST",partially false
59960d0e,Infowars Article,Keep up to date with our latest:  Have an important tip? Let us know. Email us here.,FALSE
b8437efb,BOMBSHELL: Covid-19 infection rate may be 440% higher among children who received FLU SHOTS… while health “authorities” madly push more shots for the coming flu season,"(Natural News) A 2012 study published in the journal Clinical Infectious Diseases finds that children who received inactivated influenza vaccines were 440% more likely (relative risk: 4.40; 95% confidence interval: 1.31-14.8) to acquire infections of respiratory viral pathogens which are not influenza. With the aggressive push for influenza immunizations now under way, the medical establishment may be setting up children to be extremely vulnerable to coronavirus infections.  Titled, “Increased Risk of Noninfluenza Respiratory Virus Infections Associated With Receipt of Inactivated Influenza Vaccine,” the study is found at this link at the National Library of Medicine:  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3404712/  The study finds that flu shots quite literally inactivate parts of the human immune system, rendering the child more vulnerable to coronavirus infections. “Being protected against influenza, trivalent inactivated influenza vaccine recipients may lack temporary non-specific immunity that protected against other respiratory viruses,” the study authors write.  The study authors explain that the influenza vaccine works to prevent influenza virus infections, but at the same time it makes children more susceptible to other respiratory infections. Since the Infection Fatality Rate (IFR) for seasonal influenza is so low (around 0.024%, which is not a typo), and the Infection Fatality Rate of covid-19 infections is at least one order of magnitude higher, it raises the obvious question:  Would it save more lives of children to avoid administering flu shots this year and therefore reduce their vulnerability to covid-19, which has a far higher fatality rate?  The study, which was conducted in 2009, observed the outcomes of 115 children aged 6 – 16 years. The study also used a placebo group and found that placebo made “no statistically significant difference” in the risk of acute respiratory infection risk.  But children who received influenza vaccines had a much higher risk of respiratory infections.  Even more shockingly, the study also found no difference in the risk of seasonal influenza infections between those children who were vaccinated vs. those who weren’t. In other words, the influenza vaccine offered no protection against the flu, but it created increased vulnerability to other respiratory infections. (No benefits, just increased risks.) “There was no statistically significant difference in the risk of confirmed seasonal influenza infection between recipients of TIV or placebo,” the study explains.  You can see the increased number of respiratory infections in this chart. Note the “TIV” column means those children who were vaccinated with an influenza vaccine:  The conclusion is that influenza vaccines make children more susceptible to other respiratory viral infections. From the study, which took place more than a decade before the arrival of the covid-19 pandemic:  We identified a statistically significant increased risk of noninfluenza respiratory virus infection among TIV recipients (Table 3), including significant increases in the risk of rhinovirus and coxsackie/echovirus infection, which were most frequently detected in March 2009, immediately after the peak in seasonal influenza activity in February 2009.  The study authors point out that the influenza vaccine, “could increase influenza immunity at the expense of reduced immunity to noninfluenza respiratory viruses, by some unknown biological mechanism,” although they also state more research is needed because some of the self-reporting of symptoms may have introduced “artifacts” which could sway the numbers. Nevertheless, the study authors also state that this phenomenon of “viral interference” is well known:  Participants who received TIV would have been protected against influenza in February 2009 but then would not have had heightened nonspecific immunity in the following weeks… The phenomenon of virus interference has been well known in virology for >60 years [24–27]. Ecological studies have reported phenomena potentially explained by viral interference [3–11]… Interference in respiratory and gastrointestinal infections has been reported after receipt of live oral poliovirus vaccine [29–32].  Those who push flu shots may be worsening the coronavirus pandemic  The upshot of this research is that those who are pushing flu shots for children may in fact be worsening the coronavirus pandemic, creating “perfect storm” conditions for children to become carriers of the Wuhan coronavirus that causes covid-19.  This is consistent with the fact that we now know the medical establishment has acted to deliberately worsen covid-19 fatalities by, for example, conspiring the destroy the credibility of hydroxychloroquine, working to maximize fatalities in order to reap a windfall of profits from the coronavirus vaccine.  Yes, the medical and science establishment quite literally arranges for more people to die in order to keep the coronavirus fear alive, resulting in more demand for high-profit vaccines.  As always, it’s all about the money. As Gary Heavin recently wrote in a warning to America, Big Pharma operatives are “accessories to murder.”  How does Big Pharma have so much control over the dissemination of this information or should I say propaganda? Well, the same answer pops up again, money. Big Pharma gave $2 billion dollars during the last election cycle to US politicians. Big AG, the military/security complex and big oil each gave only a paltry $1.0 billion dollars to buy the votes of our political leadership.  The MSM counts Big Pharma’s advertising revenue at up to 80% of their income. The internet’s “masters of the universe” also kowtow to Big Pharma’s influence and advertising dollars by censoring anyone who tries to tell the American people the truth about Covid 19.  It certainly appears that anyone who is complicit in this Great Deception, a deception that is designed to kill and terrify enough people to ultimately beg for an experimental vaccine, well, these people would be accessories to murder.  Flu shots are being hyped to suppress immune systems and create an explosion in coronavirus infections  Flu shots, it seems, are one more way the medical establishment can literally murder children and adults, creating widespread vulnerability to the coronavirus pandemic which will no doubt surge back this Fall as flu shots work to suppress the immune systems of millions.  Recognize that the people pushing flu shots are medical murderers, and many are deliberately trying to kill as many people as possible to create demand for the high-profit coronavirus vaccines that are about to be unleashed on America, probably before the end of this year.  It’s the perfect crime: Manufacture vaccines that suppress the immune system right in the middle of a pandemic, causing more infections and deaths, leading to more calls for mandatory vaccines. The drug companies will cash in to the tune of hundreds of billions of dollars while innocent children and adults all across America needlessly suffer and die.  As usual, it’s all about the money, and the vaccine / drug cartels are murderous, criminal regimes that twisted science (Dr. Fauci?) to maximize profits at any cost.  Read more about the dangers of vaccines at Vaccines.news.",FALSE
faf024d6,Marine Corps. Rebukes Pelosi: “WE DON’T WORK FOR YOU!”,"Latest Breaking News: Martial Law Imminent  General David H. Berger, Commandant of the United States Marine Corps., refused House Speaker Nancy Pelosi’s request to use the Corps. to safeguard Biden’s Jan. 20 inauguration from Trump supporters and insurrectionists.  A Pentagon source speaking under promise of anonymity told Real Raw News that Pelosi contacted Gen. Berger late Monday night, and she beseeched him to commit 5,000 troops to help ensure a peaceful transition of power and to prevent a repeat of the Jan 6 siege of the Capitol. Gen. Berger, our source said, didn’t understand why Pelosi needed additional soldiers to augment an already impressive force assembled by federal and state officials. That force includes 15,000 National Guard from D.C., Delaware, Massachusetts, and Rhode Island, and an undisclosed number of FBI and DHS agents who arrived in D.C. Sunday night.  Pelosi said she wanted “battle ready” reinforcements because “radicalized Trump supporters and kooky Qanon conspiracy people” were about to converge on D.C. She implored him to reconsider, arguing that it was the general’s patriotic duty to quell uprisings and guarantee Biden’s ascension to the Oval Office.  Her statement made the general explode, our source said.  “Don’t lecture me on patriotism, Madam Speaker. I’ve served this country with distinction for 40 years. I’ve spilled blood for our nation. What have you, a self-serving elected official, done for your country?” Gen. Berger said.  Pelosi further enraged him by saying he was answerable to Congress.  “I answer only to the president, and as I understand it, Donald J. Trump is still president and commander-in-chief. I abide in the Constitution as it was written, not your interpretation of it,” Gen. Berger admonished Pelosi.  Quoting our source, “When her intimidation tactic failed to sway Gen. Berger, Pelosi tried a different tactic: Begging and flattery.”  Pelosi claimed that the National Guard’s “weekend warriors” were ill-prepared to repel an army of “mad Trumpists.” Battle-hardened marines, however, were more capable of defeating “rabble rousers,” she said. “You have the best trained soldiers in the world, and America needs them.”  Gen. Berger was unmoved. The only way Marines would be deployed, he told her, was if President Trump himself issued that order.  “If you want us to help combat his supporters, I suggest you get him on the phone and tell him that. If he orders me to, I will. Otherwise, I suggest you listen really hard to the words escaping your cracked, poisonous lips; they’re tantamount to treason. We don’t work for you,” Gen. Berger allegedly told her.  Please help support alternative media. We follow the truth, wherever it leads. We reject absolutely big-tech and the narrow, dogmatic views of MSM. Although we are new to the arena, the MSM and its watchdogs–Snopes, Media Matters, Politifact, etc.–have waged war on us. We need your help to thrive, so that we can present important, unique news not found elsewhere.  [wpedon id=”445″ align=”center”]  (Visited 829,097 times, 21 visits today)",FALSE
0f086930,"You Can be Fined $2,500 And Banned From Driving For Smoking While You Drive In Canada, Starting Today","Smoking could be considered a distraction under Road Rule .  However, the practice is far more concerning if there are young passengers in your vehicle.  Smoking while driving in Canada is officially illegal starting today in these provinces of Canada : Ontario,Newfoundland and Labrador,Nova Scotia, New Brunswick, Quebec, Alberta, Saskatchewan, British Columbia,Manitoba .  A $2,500 on the spot fine can be issued to the driver and any passenger who breaks the law. There are also heavy penalties for people caught throwing lit cigarette butts from vehicles, which can also start bush and grass fires, especially during days of total fire ban or during bush fire danger period.  Taking your eyes off the road to light a cigarette could be considered putting yourself and other road users at risk.",FALSE
daafc154,Scott Walker still owes $1 million for presidential campaign,"Gov. Scott Walker said Friday his presidential campaign remains $1 million in the red, despite a spurt of fundraising in the final quarter of 2015. Credit: Associated Press  By of the  Madison— Scott Walker's former presidential campaign still owes more than $1 million, despite raising $500,000 in the last three months of 2015.  Also Friday, the Republican governor said he's dropping the practice his political operations adopted last year of paying for the travel costs to campaign events for Walker's state security team. Taxpayers will now, as they did before the presidential campaign, foot the costs of both the travel and salaries of the governor's security when he leaves the state for political events.  As of the end of last year, Walker's White House campaign had about $1.2 million in obligations left and about $153,000 in cash that partially offsets those debts.  Though Walker has raised nearly $8 million for his short run, his operation spent the cash faster than he could raise it over the campaign's 71-day life, and he dropped out of the 2016 presidential race in September.  A report filed Friday with federal elections officials shows the resulting burden won't be an easy one, even for the best political fundraiser in state history.  ""Governor Walker made substantial progress in addressing financial commitments over the last quarter, and he remains humbled by the outpouring of support from friends across the country who continue to believe in his common sense reform agenda,"" spokesman Joe Fadness said.  The filings show Walker still owes hundreds of thousands of dollars to a number of companies, including fundraising and communications consultants, direct mail companies, and photographers and video producers.  His highest debts include: $317,000 to FLS Connect LLC, a Minnesota-based telemarketing company; $82,000 to a Washington, D.C.-based legal consulting company, Jones Day; $70,000 to SCM Associates, a New Hampshire based direct mail printing company; $59,000 to the Lukens Co., an Arlington-based direct mail printing company; $44,000 in event staging expenses to MMA Events, a Maryland-based company; and $39,000 to an Alexandria-based video production company, Sharp Politics.  Walker also got some help from his state campaign committee, Friends of Scott Walker, which purchased $14,682 of items from the presidential campaign.  And he rented his voter list to Voter Gravity Inc., and Granite Lists LLC, for $20,000 and $15,700.70, respectively.  The governor did make some progress paying off his debts in the wake of his failed presidential bid.  He had owed about $10,500 to the Waukesha County Expo Center, where he officially launched his 2016 campaign in July, but paid that bill in full.  Walker also refunded 152 contributions for a total of $407,546.24.  Walker's presidential campaign took in $2.4 million and $1.2 million during July and August. Those figures dropped off dramatically in September, with $484,521, and October, with $35,279. The campaign still managed to break six figures in individual contributions in November and December, bringing in $127,498 and $151,334, respectively.  Also Friday, Walker's affiliated Unintimidated PAC reported that it took in $3.7 million in itemized receipts in the last half of 2015. The grand majority of that money came from two families: Richard and Elizabeth Uihlein contributed $2.5 million; and Mary and Mike Shannon of Milwaukee contributed another $500,000. Richard Uihlein is CEO of Pleasant Prairie-based Uline Corp. Mike Shannon is the CEO of KSL Capital Partners.  The PAC filed termination papers Friday.  State officials also said Friday that in the future, Walker's political operations will no longer reimburse state taxpayers for his security team's travel expenses.  Walker's political operations have reimbursed state taxpayers $260,000 to cover hotel stays, airfare and other travel expenses last year for his security team. But in the future, taxpayers will have to pay such costs when state troopers accompany Walker on political trips, said Jim Dick, a spokesman for the state Department of Administration.  Walker decided last year to have his political operations pick up some of those costs while he crisscrossed the country and traveled overseas as he explored and launched his presidential campaign.  But Walker is returning to the previous practice as used by other governors of both parties. Democrat Jim Doyle, for instance, brought security along on his travels to political and other events, such as a December 2010 visit to Cancun for a United Nation climate change conference.  The Wisconsin governor was an early favorite in the Republican field after surging in the wake of a January 2015 speech in Iowa, but then began to flounder as real estate mogul Donald Trump surged and Walker had to clarify statements about birthright citizenship and building a wall on Canada's border.  Patrick Marley of the Journal Sentinel staff contributed to this report.",partially false
